path,tipo,estado,ubicacion,url,habitacion,baño,dimension,precio,estrato,latitud,longitud
1fde-a0f7-1fa2895b-6845c8bfb8e3-392e,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,1fde-a0f7-1fa2895b-6845c8bfb8e3-392e,4.0,3.0,163.0,270000000.0,,5.52,-73.358
b31d-9841-1c594cdc-adf5ccff324e-3fca,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,b31d-9841-1c594cdc-adf5ccff324e-3fca,4.0,2.0,112.0,270000000.0,,5.514,-73.362
b74b-88cd-18fc4c3-c93436a54b8e-7389,Casa,venta,20 de Julio/Centro Histórico/Tunja/Boyacá,b74b-88cd-18fc4c3-c93436a54b8e-7389,9.0,3.0,210.0,410000000.0,,5.537,-73.368
4451-9e39-18f4404-d4014bfa71f5-797e,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,4451-9e39-18f4404-d4014bfa71f5-797e,2.0,2.0,146.0,320000000.0,,5.525,-73.371
c4d1-ba1c-8548d738-b22709a20d9c-3385,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,c4d1-ba1c-8548d738-b22709a20d9c-3385,5.0,4.0,211.0,330000000.0,,5.515,-73.368
adab-bffa-68dcffdd-7ade1783f24c-3a00,Casa,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,adab-bffa-68dcffdd-7ade1783f24c-3a00,1.0,1.0,433.46,950000000.0,,5.533,-73.363
f7c0-8911-5d26c9aa-a446e273e4ca-3344,Casa,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,f7c0-8911-5d26c9aa-a446e273e4ca-3344,2.0,1.0,140.0,298000000.0,,5.533,-73.363
236b-858a-9af1c629-d52e85c3d68-32c0,Casa,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,236b-858a-9af1c629-d52e85c3d68-32c0,6.0,5.0,184.0,800000000.0,,5.536,-73.356
e49d-a1fc-bdefeeb2-42c4a13e975e-33f6,Casa,venta,Las Nieves-Centro/Centro Histórico/Tunja/Boyacá,e49d-a1fc-bdefeeb2-42c4a13e975e-33f6,4.0,4.0,209.0,580000000.0,,5.534,-73.362
112d-97f5-b309a860-5eeba4a92225-3c09,Casa,venta,San Ignacio/Centro Histórico/Tunja/Boyacá,112d-97f5-b309a860-5eeba4a92225-3c09,5.0,3.0,150.0,285000000.0,,5.524,-73.37
f25b-b5fa-8233471c-d0c955e88b3c-3be7,Casa,venta,Maldonado/Centro Histórico/Tunja/Boyacá,f25b-b5fa-8233471c-d0c955e88b3c-3be7,3.0,3.0,91.0,330000000.0,,5.538,-73.362
